Sender,Reciever,Date,Subject,Body,URL,Label,sender_detail,Subject_count,body_count,cleaned_subject,urgent_word_count,logistics_score,it_score,Total_Risk_Score,cleaned_body,Body_Risk_Score,Final_Threat_Score,Sender_Domain,cleaned_body_final,Body_Score_Fixed,Risk_Level
"""ibsupport@standardbank.co.za"" <ibsupport@standardbank.co.za>",jose@monkey.org,"Fri, 18 Nov 2016 07:12:03 +0000",Foreign debit notification,"Dear customer Your card has been used for an online payment in the totalamount of R6,092.71 at ""Shezan Limited"" Because thistransaction was conducted from pakistan, we declined the transaction and temporarily deactivated your card. To reactivate your card please login hereand complete theStandard Banksecurity measures. No matter where you are, our fraud systems will monitor your account for suspicious and unauthorized transactions. Please keep your contact information up-to-date in the My Profile section of Online Banking in case we need to reach you. Regards Elite Banking Team Copyright Standard Bank. All rights reserved.Standard Bank of South Africa Limited (Reg. No. 1962/000738/06). Authorised financial services provider. Registered credit provider (NCRCP15).Disclaimer and confidentiality note:Everything in this email and any attachments relating to the official business of Standard Bank Group Limited is proprietary to the group.It is confidential, legally privileged and protected by law. Standard Bank does not own and endorse any other content.The person addressed in the email is the sole authorised recipient.Please n  otify the sender immediately if it has unintentionally reached you and do not read disclose or use the content in any way.Standard Bank cannot assume that the integrity of this communication has been maintained nor that it is free of errors, virus, interception or interference.For ourprivacy policyor information about the Standard Bank group visit our website atwww.standardbank.co.za.",1,1,"standardbank.co.za"" <ibsupport",26,1528,foreign debit notification,1,0,0,2,dear customer your card has been used for an online payment in the totalamount of r at shezan limited because thistransaction was conducted from pakistan we declined the transaction and temporarily deactivated your card to reactivate your card please login hereand complete thestandard banksecurity measures no matter where you are our fraud systems will monitor your account for suspicious and unauthorized transactions please keep your contact information uptodate in the my profile section of online banking in case we need to reach you regards elite banking team copyright standard bank all rights reservedstandard bank of south africa limited reg no  authorised financial services provider registered credit provider ncrcpdisclaimer and confidentiality noteeverything in this email and any attachments relating to the official business of standard bank group limited is proprietary to the groupit is confidential legally privileged and protected by law standard bank does not own and endorse any other contentthe person addressed in the email is the sole authorised recipientplease n  otify the sender immediately if it has unintentionally reached you and do not read disclose or use the content in any waystandard bank cannot assume that the integrity of this communication has been maintained nor that it is free of errors virus interception or interferencefor ourprivacy policyor information about the standard bank group visit our website atwwwstandardbankcoza,9,11,standardbank.co.za,dear customer your card has been used for an online payment in the totalamount of r at shezan limited because thistransaction was conducted from pakistan we declined the transaction and temporarily deactivated your card to reactivate your card please login hereand complete thestandard banksecurity measures no matter where you are our fraud systems will monitor your account for suspicious and unauthorized transactions please keep your contact information up to date in the my profile section of online banking in case we need to reach you regards elite banking team copyright standard bank all rights reserved standard bank of south africa limited reg no authorised financial services provider registered credit provider ncrcp disclaimer and confidentiality note everything in this email and any attachments relating to the official business of standard bank group limited is proprietary to the group it is confidential legally privileged and protected by law standard bank does not own and endorse any other content the person addressed in the email is the sole authorised recipient please n otify the sender immediately if it has unintentionally reached you and do not read disclose or use the content in any way standard bank cannot assume that the integrity of this communication has been maintained nor that it is free of errors virus interception or interference for ourprivacy policyor information about the standard bank group visit our website atwww standardbank co za,9,Medium
"""Admin"" <info@admin.org>",Recipients <info@admin.org>,"Thu, 17 Nov 2016 16:09:38 -0800",Email Quota,"All email users are to click on this link:http://inverbrujasltda.cl/rof/wp.html to upgrade their mail quota within 24hrs

",0,1,admin.org>,11,122,email quota,0,0,1,1,"all email users are to click on this linkhttpinverbrujasltdaclrofwphtml to upgrade their mail quota within hrs

",1,2,admin.org,all email users are to click on this link http inverbrujasltda cl rof wp html to upgrade their mail quota within hrs,1,Low
"""USAA""<online.banking.restricted@information.com>",jose@monkey.org,19-11-2016 16:42,Subscribed Alert: Important Notice On Your USAA Savings Account,"To             ensure delivery to your inbox, please add USAA.Customer.Service@mailcenter.usaa.com             to your  address book.   Subscribed Alert View Accounts | Privacy Promise | Contact Us USAA                                                  SECURITY ZONE  Security and Privacy USAA Center            Dear USAA  Member,     For your protection,  USAA Bank temporarily suspended your account.  We detected violation of our terms and  policy. Your account will be disabled permanently within 24hours. Sign- On USAA                values your business  and is committed to keeping your                accounts and personal information safe. To  learn how we                protect your information, visit our Security                Center.      Thank you,  USAA                           USAA, 9800  Fredericksburg Road, San Antonio, Texas 78288           Privacy Promise            Please do not reply to this e-mail. To  contact USAA, visit our secure contact page. 129644- 0815",1,1,information.com>,63,988,subscribed alert important notice on your usaa savings account,4,0,0,4,to             ensure delivery to your inbox please add usaacustomerservicemailcenterusaacom             to your  address book   subscribed alert view accounts  privacy promise  contact us usaa                                                  security zone  security and privacy usaa center            dear usaa  member     for your protection  usaa bank temporarily suspended your account  we detected violation of our terms and  policy your account will be disabled permanently within hours sign on usaa                values your business  and is committed to keeping your                accounts and personal information safe to  learn how we                protect your information visit our security                center      thank you  usaa                           usaa   fredericksburg road san antonio texas            privacy promise            please do not reply to this email to  contact usaa visit our secure contact page  ,7,11,information.com,to ensure delivery to your inbox please add usaa customer service mailcenter usaa com to your address book subscribed alert view accounts privacy promise contact us usaa security zone security and privacy usaa center dear usaa member for your protection usaa bank temporarily suspended your account we detected violation of our terms and policy your account will be disabled permanently within hours sign on usaa values your business and is committed to keeping your accounts and personal information safe to learn how we protect your information visit our security center thank you usaa usaa fredericksburg road san antonio texas privacy promise please do not reply to this e mail to contact usaa visit our secure contact page,7,Medium
"""Chase. Online."" <mikeb@mjboyle.com>",Recipients <mikeb@mjboyle.com>,"Mon, 21 Nov 2016 09:46:45 -0800",Account: Avoid Service Interruption.,"Avoid Service Interruption!   Dear Customer, Please activate your Account information as soon as possible in order to Avoid any Interruption to your online services. Please Click on your mail below to download the attached file and fill out all the requested information to   complete the verification process to prevent your account from being blocked.   Thank you for helping us to protect you. ------------------------------ ------------------------------ Chase , N.A., Customer Service Center. ©2016 Chase  Bank, Member FDIC",0,1,mjboyle.com>,36,528,account avoid service interruption,2,0,0,1,avoid service interruption   dear customer please activate your account information as soon as possible in order to avoid any interruption to your online services please click on your mail below to download the attached file and fill out all the requested information to   complete the verification process to prevent your account from being blocked   thank you for helping us to protect you   chase  na customer service center  chase  bank member fdic,4,5,mjboyle.com,avoid service interruption dear customer please activate your account information as soon as possible in order to avoid any interruption to your online services please click on your mail below to download the attached file and fill out all the requested information to complete the verification process to prevent your account from being blocked thank you for helping us to protect you chase n a customer service center chase bank member fdic,4,Medium
"""USAA"" <USAA.Communicationss@us.com>",Recipients <USAA.Communicationss@us.com>,"Sun, 27 Nov 2016 07:25:15 -0500",USAA Detected Suspicious Activity,"To ensure delivery to your inbox, please add USAA.Customer.Service@mailcenter.usaa.com to your address book. 	        	     	    	     USAA Restriction Notice	    View Accounts | Privacy Promise | Contact Us	    	         	 	    	 	    	 	    	     USAA SECURITY ZONE   USAA # ending in:xxxx      	    	     	    	    	    	        	     	               Dear USAA Member,     Your access to usaa.com has been temporarily restricted because of suspicious activities on your USAA profile or account(s). For security reasons we have temporarily restricted access to your account(s).   You will not be able to make and receive payments till your account issues has been resolved. Please follow the step below to review your account with us and resolve your account.         	 Review Account	      USAA values your business and is committed to keeping your accounts and personal information safe. To learn how we protect your information, visit our Security Center.     Thank you,  USAA                 	               USAA, 9800 Fredericksburg Road, San Antonio, Texas 78288         	    	  	       Privacy Promise  Please do not reply to this e-mail. To contact USAA, visit our secure contact page.  	    129644- 0815    	  	       To             ensure delivery to your inbox, please add USAA.Customer.Service@mailcenter.usaa.com             to your  address book.   USAA  Restriction Notice View Accounts | Privacy Promise | Contact Us USAA                                                  SECURITY ZONE  USAA # ending in:xxxx            Dear USAA  Member,     Your access to usaa.com  has been temporarily restricted because of suspicious activities on your USAA profile or  account(s). For security reasons we have temporarily restricted access to your account(s).   You will not be able to make and receive payments till your account issues has been  resolved.Please follow the step below to review your account with us and resolve your  account. Review  Account USAA                values your business  and is committed to keeping your                accounts and personal information safe. To  learn how we                protect your information, visit our Security                 Center.     Thank you,  USAA                           USAA, 9800  Fredericksburg Road, San Antonio, Texas 78288           Privacy Promise            Please do not reply to this e-mail. To  contact USAA, visit our secure contact page. 129644- 0815",1,1,us.com>,33,2435,usaa detected suspicious activity,2,0,0,1,to ensure delivery to your inbox please add usaacustomerservicemailcenterusaacom to your address book 	        	     	    	     usaa restriction notice	    view accounts  privacy promise  contact us	    	         	 	    	 	    	 	    	     usaa security zone   usaa  ending inxxxx      	    	     	    	    	    	        	     	               dear usaa member     your access to usaacom has been temporarily restricted because of suspicious activities on your usaa profile or accounts for security reasons we have temporarily restricted access to your accounts   you will not be able to make and receive payments till your account issues has been resolved please follow the step below to review your account with us and resolve your account         	 review account	      usaa values your business and is committed to keeping your accounts and personal information safe to learn how we protect your information visit our security center     thank you  usaa                 	               usaa  fredericksburg road san antonio texas          	    	  	       privacy promise  please do not reply to this email to contact usaa visit our secure contact page  	         	  	       to             ensure delivery to your inbox please add usaacustomerservicemailcenterusaacom             to your  address book   usaa  restriction notice view accounts  privacy promise  contact us usaa                                                  security zone  usaa  ending inxxxx            dear usaa  member     your access to usaacom  has been temporarily restricted because of suspicious activities on your usaa profile or  accounts for security reasons we have temporarily restricted access to your accounts   you will not be able to make and receive payments till your account issues has been  resolvedplease follow the step below to review your account with us and resolve your  account review  account usaa                values your business  and is committed to keeping your                accounts and personal information safe to  learn how we                protect your information visit our security                 center     thank you  usaa                           usaa   fredericksburg road san antonio texas            privacy promise            please do not reply to this email to  contact usaa visit our secure contact page  ,18,19,us.com,to ensure delivery to your inbox please add usaa customer service mailcenter usaa com to your address book usaa restriction notice view accounts privacy promise contact us usaa security zone usaa ending in xxxx dear usaa member your access to usaa com has been temporarily restricted because of suspicious activities on your usaa profile or account s for security reasons we have temporarily restricted access to your account s you will not be able to make and receive payments till your account issues has been resolved please follow the step below to review your account with us and resolve your account review account usaa values your business and is committed to keeping your accounts and personal information safe to learn how we protect your information visit our security center thank you usaa usaa fredericksburg road san antonio texas privacy promise please do not reply to this e mail to contact usaa visit our secure contact page to ensure delivery to your inbox please add usaa customer service mailcenter usaa com to your address book usaa restriction notice view accounts privacy promise contact us usaa security zone usaa ending in xxxx dear usaa member your access to usaa com has been temporarily restricted because of suspicious activities on your usaa profile or account s for security reasons we have temporarily restricted access to your account s you will not be able to make and receive payments till your account issues has been resolved please follow the step below to review your account with us and resolve your account review account usaa values your business and is committed to keeping your accounts and personal information safe to learn how we protect your information visit our security center thank you usaa usaa fredericksburg road san antonio texas privacy promise please do not reply to this e mail to contact usaa visit our secure contact page,22,High
"""Mail Administrator"" <Owenemery@qq.com>",jose@monkey.org,"Mon, 28 Nov 2016 16:34:48 +0100",Data Usage Alert,"\0Ae6Cv84u28b37,    `A8v84AE{B1]F285C7g00Y27[58PA850R36,  O60SEFFDeE0lD5cA5e36eB0AENF6  vF4R30O60Q8Dk218CC1[83002    N3AN867FQ4DD9yCD`C5QB5ÿ0CX9ERA0`A8v84AE{B1[58PA8002  F7W28N0B62CDeB08CC1`A8v84^10b37002             pB9QFBD9CC8CC1     2222`A8v84T08O5C002    AENF6N2D_C3     `A8SD101D9\01u35[50AENF6g0DRA1Q6CT4A1AwE5O60g09Q73 R30`A8v84AE{B1CD81v84SD8S16ÿ0C   尊敬的用户, 			您的邮箱已超过最大存储限制, 			你可能无法接收新邮件 			直到你再次验证它。 			为了避免这种情况，增加您的邮箱存储。 			请在下面重新验证您的帐户。 点击这里验证 谢谢您的合作。 			邮件中心 			您发送这封电子邮件服务公告通知你有关 到您的邮箱重要的变化，",1,1,qq.com>,16,536,data usage alert,1,0,0,1,aecvub    avaebfcgypar  oseffdeeldcaeebaenf  vfroqdkcc    nanfqddycdcqbcxeraavaebpa  fwnbcdebccavb             pbqfbdcccc     avtoc    aenfndc     asdduaenfgdraqctaaweogq ravaebcdvsdsc    			 			 			 			 			   			 			 ,0,1,qq.com,ae cv u b a v ae b f c g y pa r o sef fdee ld ca e eb aenf vf r o q dk c c n an fq d d ycd c qb cx era a v ae b pa f w n b cdeb c c a v b pb qfb d cc c c a v t o c aenf n d c a sd d u aenf g dra q ct a awe o g q r a v ae b cd v sd s c,0,Low
"""USAA"" <codewizard@approject.com>",jose@monkey.org,28-11-2016 16:26,URGENT SECURITY CHECK FAILURE,"To ensure delivery to your inbox, please add USAA.Customer.Service@mailcenter.usaa.com to your address book.               USAA SECURITY ZONE USAA # ending in: *****                    Security Validation Prefrences         Dear USAA Customer, 						Your Checking/Savings Account security has been weaken due to too many attempt to login from an unknown server which is the work of hackers so follow our procedure to protect your account. Your account failed our urgent security check please kindly update your security question and answer to be on the safer side. We value your business and the opportunity to serve  all your financial needs.  Protect My Account Together, we'll remain vigilant to protect your online security. You have our commitment to continuously enhance our security measures to help prevent cybercrime from happening to you.   Thank you, USAA Federal Savings Bank",1,1,approject.com>,29,887,urgent security check failure,2,0,0,2,to ensure delivery to your inbox please add usaacustomerservicemailcenterusaacom to your address book               usaa security zone usaa  ending in                     security validation prefrences         dear usaa customer 						your checkingsavings account security has been weaken due to too many attempt to login from an unknown server which is the work of hackers so follow our procedure to protect your account your account failed our urgent security check please kindly update your security question and answer to be on the safer side we value your business and the opportunity to serve  all your financial needs  protect my account together well remain vigilant to protect your online security you have our commitment to continuously enhance our security measures to help prevent cybercrime from happening to you   thank you usaa federal savings bank,15,17,approject.com,to ensure delivery to your inbox please add usaa customer service mailcenter usaa com to your address book usaa security zone usaa ending in security validation prefrences dear usaa customer your checking savings account security has been weaken due to too many attempt to login from an unknown server which is the work of hackers so follow our procedure to protect your account your account failed our urgent security check please kindly update your security question and answer to be on the safer side we value your business and the opportunity to serve all your financial needs protect my account together we ll remain vigilant to protect your online security you have our commitment to continuously enhance our security measures to help prevent cybercrime from happening to you thank you usaa federal savings bank,15,High
Victoria Brown <vbrown@sbch.org>,Victoria Brown <vbrown@sbch.org>,"Mon, 28 Nov 2016 21:40:36 +0000",RE: ICT Technical Support,"ICT Technical Support     We are migrating all  email accounts into  Outlook Web App 2016 and as such all active Account Holder are to verify and Log in for the upgrade and migration to take effect now. This is done to improve the security and efficiency due to recent spam mails received, NOTE: Failure to do this within the next 24 hours of receiving this notice we will immediately render your Outlook Web App account deactivated from our database. Click On ICT Technical Support  to migrate and block further Spam mails. Regards, ICT Team, Outlook Services for Staff and Internet services. ________________________________ CH Disclaimer: This electronic mail message is intended exclusively for the individual or entity to which it is addressed. This message, together with any attachment, may contain confidential and privileged information. Any views, opinions or conclusions expressed in this message are those of the individual sender and do not necessarily reflect the views of Cottage Health, its subsidiaries or affiliates. This document may also contain information covered under the Health Insurance Portability and Accountability Act (HIPAA, PL 104-191) and implementing regulations and must be protected in accordance with those provisions. Re-disclosure without patient consent or as otherwise permitted by law is prohibited. Any unauthorized review, retransmission, use, printing, copying, retention, disclosure, distribution or the taking of any action in reliance upon this information by persons or entities other than the intended recipient is strictly prohibited and may be unlawful. If you have received this message in error, please immediately advise the sender by reply email message to the sender and delete all copies of this message from your system without copying. ________________________________ ICT Technical Support     We are migrating all  email accounts into  Outlook Web App 2016 and as such all active Account Holder are to verify and Log in for the upgrade and migration to take effect now. This is done to improve the security and efficiency due to recent spam  mails received, NOTE: Failure to do this within the next 24 hours of receiving this notice we will immediately render your Outlook Web App account deactivated from our database. Click On ICT Technical Support  to migrate and block further Spam mails. Regards, ICT Team, Outlook Services for Staff and Internet services. CH Disclaimer: This electronic mail message is intended exclusively for the individual or entity to which it is addressed. This message, together with any attachment, may contain confidential and  privileged information. Any views, opinions or conclusions expressed in this message are those of the individual sender and do not necessarily reflect the views of Cottage Health, its subsidiaries or affiliates. This document may also contain information covered  under the Health Insurance Portability and Accountability Act (HIPAA, PL 104-191) and implementing regulations and must be protected in accordance with those provisions. Re-disclosure without patient consent or as otherwise permitted by law is prohibited.  Any unauthorized review, retransmission, use, printing, copying, retention, disclosure, distribution or the taking of any action in reliance upon this information by persons or entities other than the intended recipient is strictly prohibited and may be unlawful.  If you have received this message in error, please immediately advise the sender by reply email message to the sender and delete all copies of this message from your system without copying.",1,1,sbch.org>,25,3596,re ict technical support,0,0,1,0,ict technical support     we are migrating all  email accounts into  outlook web app  and as such all active account holder are to verify and log in for the upgrade and migration to take effect now this is done to improve the security and efficiency due to recent spam mails received note failure to do this within the next  hours of receiving this notice we will immediately render your outlook web app account deactivated from our database click on ict technical support  to migrate and block further spam mails regards ict team outlook services for staff and internet services  ch disclaimer this electronic mail message is intended exclusively for the individual or entity to which it is addressed this message together with any attachment may contain confidential and privileged information any views opinions or conclusions expressed in this message are those of the individual sender and do not necessarily reflect the views of cottage health its subsidiaries or affiliates this document may also contain information covered under the health insurance portability and accountability act hipaa pl  and implementing regulations and must be protected in accordance with those provisions redisclosure without patient consent or as otherwise permitted by law is prohibited any unauthorized review retransmission use printing copying retention disclosure distribution or the taking of any action in reliance upon this information by persons or entities other than the intended recipient is strictly prohibited and may be unlawful if you have received this message in error please immediately advise the sender by reply email message to the sender and delete all copies of this message from your system without copying  ict technical support     we are migrating all  email accounts into  outlook web app  and as such all active account holder are to verify and log in for the upgrade and migration to take effect now this is done to improve the security and efficiency due to recent spam  mails received note failure to do this within the next  hours of receiving this notice we will immediately render your outlook web app account deactivated from our database click on ict technical support  to migrate and block further spam mails regards ict team outlook services for staff and internet services ch disclaimer this electronic mail message is intended exclusively for the individual or entity to which it is addressed this message together with any attachment may contain confidential and  privileged information any views opinions or conclusions expressed in this message are those of the individual sender and do not necessarily reflect the views of cottage health its subsidiaries or affiliates this document may also contain information covered  under the health insurance portability and accountability act hipaa pl  and implementing regulations and must be protected in accordance with those provisions redisclosure without patient consent or as otherwise permitted by law is prohibited  any unauthorized review retransmission use printing copying retention disclosure distribution or the taking of any action in reliance upon this information by persons or entities other than the intended recipient is strictly prohibited and may be unlawful  if you have received this message in error please immediately advise the sender by reply email message to the sender and delete all copies of this message from your system without copying,12,12,sbch.org,ict technical support we are migrating all email accounts into outlook web app and as such all active account holder are to verify and log in for the upgrade and migration to take effect now this is done to improve the security and efficiency due to recent spam mails received note failure to do this within the next hours of receiving this notice we will immediately render your outlook web app account deactivated from our database click on ict technical support to migrate and block further spam mails regards ict team outlook services for staff and internet services ch disclaimer this electronic mail message is intended exclusively for the individual or entity to which it is addressed this message together with any attachment may contain confidential and privileged information any views opinions or conclusions expressed in this message are those of the individual sender and do not necessarily reflect the views of cottage health its subsidiaries or affiliates this document may also contain information covered under the health insurance portability and accountability act hipaa pl and implementing regulations and must be protected in accordance with those provisions re disclosure without patient consent or as otherwise permitted by law is prohibited any unauthorized review retransmission use printing copying retention disclosure distribution or the taking of any action in reliance upon this information by persons or entities other than the intended recipient is strictly prohibited and may be unlawful if you have received this message in error please immediately advise the sender by reply email message to the sender and delete all copies of this message from your system without copying ict technical support we are migrating all email accounts into outlook web app and as such all active account holder are to verify and log in for the upgrade and migration to take effect now this is done to improve the security and efficiency due to recent spam mails received note failure to do this within the next hours of receiving this notice we will immediately render your outlook web app account deactivated from our database click on ict technical support to migrate and block further spam mails regards ict team outlook services for staff and internet services ch disclaimer this electronic mail message is intended exclusively for the individual or entity to which it is addressed this message together with any attachment may contain confidential and privileged information any views opinions or conclusions expressed in this message are those of the individual sender and do not necessarily reflect the views of cottage health its subsidiaries or affiliates this document may also contain information covered under the health insurance portability and accountability act hipaa pl and implementing regulations and must be protected in accordance with those provisions re disclosure without patient consent or as otherwise permitted by law is prohibited any unauthorized review retransmission use printing copying retention disclosure distribution or the taking of any action in reliance upon this information by persons or entities other than the intended recipient is strictly prohibited and may be unlawful if you have received this message in error please immediately advise the sender by reply email message to the sender and delete all copies of this message from your system without copying,12,High
"""USAA"" <codewizard@approject.com>",jose@monkey.org,29 Nov 2016 19:11:38 +0700,Your Account Urgent Document Is Ready,"To ensure delivery to your inbox, please add USAA.Customer.Service@mailcenter.usaa.com to your address book.               USAA SECURITY ZONE USAA # ending in: *****                    Security Validation Prefrences         Dear USAA Customer,  						Your Checking/Savings Account security has been weaken due to too many attempt to login from an unknown server which is the work of hackers so follow our procedure to protect your account. Your account failed our urgent security check please kindly update your security question and answer to be on the safer side. We value your business and the opportunity to serve  all your financial needs.  Protect My Account Together, we'll remain vigilant to protect your online security. You have our commitment to continuously enhance our security measures to help prevent cybercrime from happening to you.   Thank you, USAA Federal Savings Bank",1,1,approject.com>,37,889,your account urgent document is ready,2,0,0,2,"to ensure delivery to your inbox please add usaacustomerservicemailcenterusaacom to your address book               usaa security zone usaa  ending in                     security validation prefrences         dear usaa customer  						your checkingsavings account security has been weaken due to too many attempt to login from an unknown server which is the work of hackers so follow our procedure to protect your account your account failed our urgent security check please kindly update your security question and answer to be on the safer side we value your business and the opportunity to serve  all your financial needs  protect my account together well remain vigilant to protect your online security you have our commitment to continuously enhance our security measures to help prevent cybercrime from happening to you   thank you usaa federal savings bank",15,17,approject.com,to ensure delivery to your inbox please add usaa customer service mailcenter usaa com to your address book usaa security zone usaa ending in security validation prefrences dear usaa customer your checking savings account security has been weaken due to too many attempt to login from an unknown server which is the work of hackers so follow our procedure to protect your account your account failed our urgent security check please kindly update your security question and answer to be on the safer side we value your business and the opportunity to serve all your financial needs protect my account together we ll remain vigilant to protect your online security you have our commitment to continuously enhance our security measures to help prevent cybercrime from happening to you thank you usaa federal savings bank,15,High
"""System Administrator""<steve@awoc.ca>",Recipients <steve@awoc.ca>,"Fri, 02 Dec 2016 17:44:33 +0100",Your Mailbox,"Dear email User,  There is a security alert on your EMAIL account.  Kindly click ""Verify My Account"" below to resolve this problem.  Verify My Account  http://indokegstes.tripod.com/  © Copyright 2016 INC. Dear email User, There is a security alert on your EMAIL account. Kindly click ""Verify My Account"" below to resolve this problem. Verify My Account http://indokegstes.tripod.com/ © Copyright 2016 INC.",1,1,awoc.ca>,12,406,your mailbox,0,0,1,1,dear email user  there is a security alert on your email account  kindly click verify my account below to resolve this problem  verify my account  httpindokegstestripodcom   copyright  inc dear email user there is a security alert on your email account kindly click verify my account below to resolve this problem verify my account httpindokegstestripodcom  copyright  inc,14,15,awoc.ca,dear email user there is a security alert on your email account kindly click verify my account below to resolve this problem verify my account http indokegstes tripod com copyright inc dear email user there is a security alert on your email account kindly click verify my account below to resolve this problem verify my account http indokegstes tripod com copyright inc,14,High
